album_name,album_release_date,artists_name,artists_id,duration_ms,explicit,name,popularity,external_urls
bloom,2017-05-12,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,239293,False,Bad Things (with Camila Cabello),73,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
bloom,2017-05-12,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,239293,False,Bad Things (with Camila Cabello),73,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
Camila,2018-01-12,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,226973,False,Never Be the Same,72,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
Romance,2019-12-06,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,207038,False,Liar,69,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
Handwritten,2015-04-14,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,223853,False,I Know What You Did Last Summer,71,https://open.spotify.com/track/2GyA33q5rti5IxkMQemRDH
Handwritten,2015-04-14,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,223853,False,I Know What You Did Last Summer,71,https://open.spotify.com/track/2GyA33q5rti5IxkMQemRDH
Crying in the Club,2017-05-18,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,216391,False,Crying in the Club,70,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
Revelación - EP,2021-03-12,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,186087,False,Baila Conmigo (with Rauw Alejandro),90,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
Revelación - EP,2021-03-12,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,186087,False,Baila Conmigo (with Rauw Alejandro),90,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
Rare,2020-01-10,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,206458,False,Lose You To Love Me,83,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
Selfish Love (with Selena Gomez),2021-03-04,DJ Snake,540vIaP2JwjQb9dm3aArA4,168648,False,Selfish Love (with Selena Gomez),80,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
Selfish Love (with Selena Gomez),2021-03-04,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,168648,False,Selfish Love (with Selena Gomez),80,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
Wolves,2017-10-25,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,197993,False,Wolves,80,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
Wolves,2017-10-25,Marshmello,64KEffDW9EtZ1y2vBYgq8T,197993,False,Wolves,80,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,DJ Snake,540vIaP2JwjQb9dm3aArA4,212500,True,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",78,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,212500,True,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",78,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,212500,True,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",78,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,Cardi B,4kYSro6naA4h99UJvo89HB,212500,True,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",78,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
Revelación - EP,2021-03-12,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,184134,False,Dámelo To’ (feat. Myke Towers),77,https://open.spotify.com/track/36CiGk9oRdwTnBDMgKEfjl
Revelación - EP,2021-03-12,Myke Towers,7iK8PXO48WeuP03g8YR51W,184134,False,Dámelo To’ (feat. Myke Towers),77,https://open.spotify.com/track/36CiGk9oRdwTnBDMgKEfjl
It Ain't Me,2017-02-17,Kygo,23fqKkggKUBHNkbKtXEls4,220780,False,It Ain’t Me (with Selena Gomez),66,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs
It Ain't Me,2017-02-17,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,220780,False,It Ain’t Me (with Selena Gomez),66,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs
Revelación - EP,2021-03-12,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,155956,False,De Una Vez,76,https://open.spotify.com/track/1v3lhrZEsOcazqR2QIyyRu
THE ALBUM,2020-10-02,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,177813,False,Ice Cream (with Selena Gomez),74,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
THE ALBUM,2020-10-02,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,177813,False,Ice Cream (with Selena Gomez),74,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
Back To You (From 13 Reasons Why – Season 2 Soundtrack),2018-05-10,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,207904,False,Back To You - From 13 Reasons Why – Season 2 Soundtrack,74,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
Hot Pink,2019-11-07,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,226986,True,Streets,93,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
Kiss Me More (feat. SZA),2021-04-09,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,208866,True,Kiss Me More (feat. SZA),91,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
Kiss Me More (feat. SZA),2021-04-09,SZA,7tYKF4w9nC0nq9CsPZTHyP,208866,True,Kiss Me More (feat. SZA),91,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
Hot Pink,2019-11-07,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,237893,True,Say So,84,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
