album_name,album_release_date,artists_name,artists_id,duration_ms,explicit,name,popularity,external_urls,test,year
Eternal Atake (Deluxe) - LUV vs. The World 2,2020-03-13,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,224954,True,Myron,78,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ,yes,2020
Eternal Atake,2020-03-06,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,234626,True,P2,76,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,yes,2020
Sanguine Paradise,2019-04-09,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,243976,True,Sanguine Paradise,75,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,yes,2019
Lil Uzi Vert vs. The World,2016-05-27,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,198944,True,Money Longer,75,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ,yes,2016
Justice (Triple Chucks Deluxe),2021-03-26,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,215019,False,There She Go (feat. Lil Uzi Vert),74,https://open.spotify.com/track/7i2xVGqiF5FBPvLg6PLHX3,yes,2021
Justice (Triple Chucks Deluxe),2021-03-26,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,215019,False,There She Go (feat. Lil Uzi Vert),74,https://open.spotify.com/track/7i2xVGqiF5FBPvLg6PLHX3,yes,2021
The Perfect LUV Tape,2016-08-10,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,199993,True,Erase Your Social,74,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN,yes,2016
Closer,2016-07-29,Halsey,26VFTg2z8YR0cCuwLzESi2,244960,False,Closer,85,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,yes,2016
Be Kind (with Halsey),2020-05-01,Marshmello,64KEffDW9EtZ1y2vBYgq8T,172761,False,Be Kind (with Halsey),83,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,yes,2020
Be Kind (with Halsey),2020-05-01,Halsey,26VFTg2z8YR0cCuwLzESi2,172761,False,Be Kind (with Halsey),83,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,yes,2020
MAP OF THE SOUL : PERSONA,2019-04-12,BTS,3Nrfpe0tUJi4K4DXYWgMUX,229773,False,Boy With Luv (feat. Halsey),83,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,yes,2019
MAP OF THE SOUL : PERSONA,2019-04-12,Halsey,26VFTg2z8YR0cCuwLzESi2,229773,False,Boy With Luv (feat. Halsey),83,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,yes,2019
Manic,2020-01-17,Halsey,26VFTg2z8YR0cCuwLzESi2,201660,True,Without Me,77,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,yes,2020
Tickets To My Downfall,2020-09-25,Halsey,26VFTg2z8YR0cCuwLzESi2,171620,True,forget me too (feat. Halsey),79,https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m,yes,2020
FRIENDS KEEP SECRETS,2018-12-07,Halsey,26VFTg2z8YR0cCuwLzESi2,170769,False,Eastside (with Halsey & Khalid),73,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,yes,2018
FRIENDS KEEP SECRETS,2018-12-07,Khalid,6LuN9FCkKOj5PcnpouEgny,170769,False,Eastside (with Halsey & Khalid),73,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,yes,2018
Manic,2020-01-17,Halsey,26VFTg2z8YR0cCuwLzESi2,205473,True,You should be sad,78,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,yes,2020
Legends Never Die,2020-07-10,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,202193,True,Life's A Mess (feat. Halsey),78,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs,yes,2020
Legends Never Die,2020-07-10,Halsey,26VFTg2z8YR0cCuwLzESi2,202193,True,Life's A Mess (feat. Halsey),78,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs,yes,2020
The Beautiful & Damned,2017-12-15,Halsey,26VFTg2z8YR0cCuwLzESi2,268866,True,Him & I (with Halsey),76,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,yes,2017
hopeless fountain kingdom (Deluxe),2017-06-02,Halsey,26VFTg2z8YR0cCuwLzESi2,220540,False,Sorry,76,https://open.spotify.com/track/44n97yHySt0Z9rqPaXgjCK,yes,2017
A Star Is Born Soundtrack,2018-10-05,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,215733,False,Shallow,85,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,yes,2018
Chromatica,2020-05-29,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,182200,False,Rain On Me (with Ariana Grande),79,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,yes,2020
Chromatica,2020-05-29,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,182200,False,Rain On Me (with Ariana Grande),79,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,yes,2020
The Fame Monster (Deluxe Edition),2009-11-05,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,294573,True,Bad Romance,82,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,yes,2009
A Star Is Born Soundtrack (Without Dialogue),2018-10-05,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,210200,False,Always Remember Us This Way,79,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,yes,2018
The Fame,2008-01-01,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,237200,False,Poker Face,74,https://open.spotify.com/track/5R8dQOPq8haW94K7mgERlO,yes,2008
Chromatica,2020-05-29,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,193533,False,Stupid Love,77,https://open.spotify.com/track/7yBbV2k2S2uhaQc24NF2xt,yes,2020
Joanne (Deluxe),2016-10-21,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,205280,False,Million Reasons,77,https://open.spotify.com/track/7dZ1Odmx9jWIweQSatnRqo,yes,2016
The Fame,2008-01-01,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,241933,False,Just Dance,73,https://open.spotify.com/track/2x7MyWybabEz6Y6wvHuwGE,yes,2008
Born This Way (Special Edition),2011-01-01,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,260253,False,Born This Way,68,https://open.spotify.com/track/6r2BECwMgEoRb5yLfp0Hca,yes,2011
Chromatica,2020-05-29,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,172133,False,911,73,https://open.spotify.com/track/6qI0MU175Dk2DeoUjlrOpy,yes,2020
Bandido,2020-12-10,Myke Towers,7iK8PXO48WeuP03g8YR51W,232853,False,Bandido,93,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb,yes,2020
Ella No Es Tuya (Remix),2021-02-03,Myke Towers,7iK8PXO48WeuP03g8YR51W,218106,False,Ella No Es Tuya - Remix,91,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y,yes,2021
Dopamina,2021-04-09,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,216107,False,La Nota,68,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa,yes,2021
Dopamina,2021-04-09,Myke Towers,7iK8PXO48WeuP03g8YR51W,216107,False,La Nota,68,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa,yes,2021
Mi Niña,2020-09-23,Myke Towers,7iK8PXO48WeuP03g8YR51W,213313,False,Mi Niña,86,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi,yes,2020
Platonicos,2020-06-12,Myke Towers,7iK8PXO48WeuP03g8YR51W,219048,False,La Curiosidad,85,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,yes,2020
Polvo,2020-11-20,Myke Towers,7iK8PXO48WeuP03g8YR51W,211130,False,Polvo,85,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5,yes,2020
Para Mi Ex,2020-12-15,Myke Towers,7iK8PXO48WeuP03g8YR51W,195066,True,Explícito,84,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa,yes,2020
"La Curiosidad (Blue Grand Prix Remix) [feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi]",2020-12-17,Myke Towers,7iK8PXO48WeuP03g8YR51W,382555,True,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",82,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD,yes,2020
"La Curiosidad (Blue Grand Prix Remix) [feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi]",2020-12-17,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,382555,True,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",82,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD,yes,2020
Now Or Never,2020-07-24,Anuel AA,2R21vXR83lH98kGeO99Y66,345240,True,La Jeepeta - Remix,74,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,yes,2020
Now Or Never,2020-07-24,Myke Towers,7iK8PXO48WeuP03g8YR51W,345240,True,La Jeepeta - Remix,74,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,yes,2020
Easy Money Baby,2020-01-24,Myke Towers,7iK8PXO48WeuP03g8YR51W,214013,True,Diosa,78,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky,yes,2020
Revelación - EP,2021-03-12,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,186087,False,Baila Conmigo (with Rauw Alejandro),90,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h,yes,2021
Revelación - EP,2021-03-12,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,186087,False,Baila Conmigo (with Rauw Alejandro),90,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h,yes,2021
Dopamina,2021-04-09,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,216107,False,La Nota,68,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa,yes,2021
Dopamina,2021-04-09,Myke Towers,7iK8PXO48WeuP03g8YR51W,216107,False,La Nota,68,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa,yes,2021
